 Fecha, CAPE, PW
 01 Jan 2016, 0.00, 21.79
 02 Jan 2016, 0.00, 23.06
 03 Jan 2016, 0.00, 17.56
 04 Jan 2016, 2.18, 17.32
 06 Jan 2016, 0.00, 19.05
 08 Jan 2016, 0.00, 9.99
 09 Jan 2016, 0.00, 13.23
 10 Jan 2016, 0.00, 10.64
 11 Jan 2016, 0.00, 14.11
 12 Jan 2016, 0.00, 14.08
 13 Jan 2016, 0.00, 13.20
 14 Jan 2016, 0.00, 9.57
 20 Jan 2016, 0.00, 9.15
 21 Jan 2016, 0.00, 8.97
 22 Jan 2016, 0.00, 8.65
 24 Jan 2016, 0.00, 8.78
 25 Jan 2016, 0.00, 14.17
 26 Jan 2016, 0.00, 17.46
 27 Jan 2016, 0.00, 10.20
 28 Jan 2016, 0.00, 26.22
 29 Jan 2016, 0.00, 6.76
 31 Jan 2016, 0.00, 10.61
 01 Feb 2016, 0.00, 10.87
 02 Feb 2016, 0.00, 12.15
 03 Feb 2016, 0.00, 11.45
 04 Feb 2016, 0.00, 9.80
 05 Feb 2016, 0.00, 7.15
 06 Feb 2016, 0.00, 11.65
 07 Feb 2016, 0.00, 13.64
 08 Feb 2016, 0.00, 20.14
 09 Feb 2016, 0.00, 22.35
 10 Feb 2016, 0.00, 19.59
 11 Feb 2016, 0.00, 18.22
 12 Feb 2016, 0.00, 14.60
 13 Feb 2016, 0.00, 15.22
 14 Feb 2016, 0.00, 14.75
 15 Feb 2016, 0.00, 6.22
 16 Feb 2016, 0.00, 8.55
 17 Feb 2016, 0.00, 8.14
 18 Feb 2016, 0.00, 19.63
 19 Feb 2016, 0.00, 20.56
 20 Feb 2016, 0.00, 21.78
 21 Feb 2016, 0.00, 26.73
 17 Mar 2016, 0.00, 17.17
 18 Mar 2016, 0.00, 27.91
 19 Mar 2016, 0.00, 16.84
 20 Mar 2016, 0.00, 16.20
 21 Mar 2016, 0.00, 17.89
 22 Mar 2016, 0.00, 15.17
 23 Mar 2016, 0.00, 16.22
 24 Mar 2016, 0.00, 17.84
 25 Mar 2016, 0.00, 17.83
 26 Mar 2016, 0.00, 12.49
 27 Mar 2016, 0.00, 12.91
 29 Mar 2016, 0.00, 12.50
 30 Mar 2016, 0.00, 16.73
 31 Mar 2016, 0.00, 11.42
 02 Apr 2016, 0.00, 7.93
 03 Apr 2016, 0.00, 6.93
 04 Apr 2016, 0.00, 7.19
 05 Apr 2016, 0.00, 10.48
 06 Apr 2016, 0.00, 10.84
 07 Apr 2016, 0.00, 24.34
 08 Apr 2016, 0.00, 26.57
 09 Apr 2016, 0.00, 23.84
 10 Apr 2016, 0.00, 25.91
 11 Apr 2016, 0.00, 21.07
 12 Apr 2016, 0.00, 15.63
 13 Apr 2016, 0.00, 11.55
 14 Apr 2016, 0.00, 43.57
 15 Apr 2016, 0.00, 8.94
 16 Apr 2016, 0.00, 11.68
 17 Apr 2016, 0.00, 32.16
 18 Apr 2016, 0.00, 9.38
 19 Apr 2016, 0.00, 7.55
 20 Apr 2016, 0.00, 6.75
 21 Apr 2016, 0.00, 13.43
 22 Apr 2016, 0.00, 25.33
 23 Apr 2016, 0.00, 17.04
 24 Apr 2016, 7.64, 11.93
 25 Apr 2016, 0.00, 9.23
 26 Apr 2016, 0.00, 8.99
 27 Apr 2016, 757.63, 8.53
 28 Apr 2016, 0.00, 8.63
 29 Apr 2016, 0.00, 11.33
 30 Apr 2016, 0.00, 13.68
 01 May 2016, 0.00, 6.21
 02 May 2016, 0.00, 12.32
 03 May 2016, 0.00, 15.33
 05 May 2016, 0.00, 20.29
 06 May 2016, 0.00, 24.56
 07 May 2016, 0.00, 24.97
 08 May 2016, 0.00, 24.18
 11 May 2016, 0.00, 19.43
 12 May 2016, 0.00, 33.22
 13 May 2016, 0.00, 38.37
 14 May 2016, 0.00, 34.68
 26 May 2016, 0.00, 28.83
 27 May 2016, 0.00, 19.23
 28 May 2016, 0.00, 19.54
 30 May 2016, 0.00, 45.48
 31 May 2016, 0.00, 39.04
 01 Jun 2016, 0.00, 37.41
 02 Jun 2016, 0.00, 16.70
 03 Jun 2016, 0.00, 39.08
 04 Jun 2016, 0.00, 23.11
 05 Jun 2016, 0.00, 23.48
 06 Jun 2016, 0.00, 22.93
 07 Jun 2016, 0.00, 33.49
 08 Jun 2016, 0.00, 31.54
 09 Jun 2016, 0.00, 31.93
 10 Jun 2016, 0.00, 30.31
 11 Jun 2016, 0.00, 25.35
 12 Jun 2016, 0.00, 31.97
 13 Jun 2016, 0.00, 24.06
 14 Jun 2016, 0.00, 28.27
 15 Jun 2016, 0.00, 33.21
 16 Jun 2016, 0.00, 33.37
 17 Jun 2016, 0.00, 45.10
 18 Jun 2016, 0.00, 49.05
 19 Jun 2016, 0.00, 34.01
 20 Jun 2016, 545.38, 45.62
 21 Jun 2016, 0.00, 63.60
 22 Jun 2016, 0.00, 52.64
 23 Jun 2016, 0.00, 44.47
 24 Jun 2016, 0.00, 45.10
 25 Jun 2016, 0.00, 44.03
 26 Jun 2016, 0.00, 25.99
 29 Jun 2016, 0.00, 42.72
 30 Jun 2016, 0.00, 43.89
 01 Jul 2016, 0.00, 39.26
 02 Jul 2016, 0.00, 38.20
 03 Jul 2016, 0.00, 53.59
 04 Jul 2016, 0.00, 41.80
 05 Jul 2016, 0.00, 44.67
 06 Jul 2016, 0.00, 39.35
 07 Jul 2016, 0.00, 39.97
 08 Jul 2016, 0.00, 36.34
 09 Jul 2016, 0.00, 36.72
 10 Jul 2016, 0.00, 32.44
 11 Jul 2016, 0.00, 34.77
 12 Jul 2016, 0.00, 41.84
 13 Jul 2016, 28.49, 46.20
 14 Jul 2016, 661.00, 53.07
 15 Jul 2016, 210.98, 48.65
 16 Jul 2016, 0.00, 38.66
 17 Jul 2016, 0.00, 40.96
 19 Jul 2016, 755.70, 47.84
 20 Jul 2016, 0.00, 43.50
 21 Jul 2016, 89.61, 58.97
 22 Jul 2016, 0.00, 49.61
 27 Jul 2016, 311.09, 51.36
 28 Jul 2016, 202.23, 55.50
 29 Jul 2016, 126.05, 50.34
 30 Jul 2016, 9.70, 51.96
 31 Jul 2016, 179.79, 49.84
 01 Aug 2016, 255.51, 43.92
 02 Aug 2016, 0.00, 50.50
 03 Aug 2016, 0.00, 42.97
 05 Aug 2016, 12.02, 43.45
 06 Aug 2016, 0.00, 44.42
 10 Aug 2016, 0.00, 76.19
 12 Aug 2016, 0.00, 47.33
 31 Aug 2016, 0.00, 32.43
 01 Sep 2016, 0.00, 32.72
 02 Sep 2016, 0.00, 38.39
 03 Sep 2016, 0.00, 40.67
 04 Sep 2016, 0.00, 40.24
 05 Sep 2016, 4.23, 46.57
 06 Sep 2016, 294.55, 59.89
 08 Sep 2016, 0.48, 50.48
 09 Sep 2016, 241.25, 46.45
 10 Sep 2016, 381.89, 37.75
 11 Sep 2016, 175.88, 46.99
 12 Sep 2016, 0.00, 38.89
 13 Sep 2016, 0.00, 35.87
 14 Sep 2016, 0.00, 34.55
 15 Sep 2016, 24.89, 34.99
 16 Sep 2016, 196.43, 43.09
 10 Dec 2016, 0.00, 28.62
 11 Dec 2016, 0.00, 14.49
 12 Dec 2016, 0.00, 12.35
 13 Dec 2016, 0.00, 25.45
 14 Dec 2016, 0.00, 17.53
 15 Dec 2016, 0.00, 15.43
 16 Dec 2016, 0.00, 12.81
 17 Dec 2016, 0.00, 12.98
 18 Dec 2016, 0.00, 19.50
 19 Dec 2016, 0.00, 22.30
 20 Dec 2016, 0.00, 35.00
 21 Dec 2016, 0.00, 47.81
 22 Dec 2016, 0.00, 43.25
 23 Dec 2016, 0.00, 13.68
 24 Dec 2016, 0.00, 12.77
 25 Dec 2016, 0.00, 13.86
 26 Dec 2016, 0.00, 11.63
 27 Dec 2016, 0.00, 33.88
 28 Dec 2016, 0.00, 33.93
 29 Dec 2016, 0.00, 25.06
