Date Time, Water Level, Sigma, O, F, R, L, Quality 
2016-12-01 00:00,0.568,0.262,0,0,0,0,v
2016-12-01 00:06,0.623,0.420,0,0,0,0,v
2016-12-01 00:12,0.515,0.381,0,0,0,0,v
2016-12-01 00:18,0.614,0.387,0,0,0,0,v
2016-12-01 00:24,0.420,0.440,0,0,0,0,v
2016-12-01 00:30,0.495,0.289,0,0,0,0,v
2016-12-01 00:36,0.607,0.400,0,0,0,0,v
2016-12-01 00:42,0.486,0.459,0,0,0,0,v
2016-12-01 00:48,0.495,0.413,0,0,0,0,v
2016-12-01 00:54,0.476,0.344,0,0,0,0,v
2016-12-01 01:00,0.466,0.269,0,0,0,0,v
2016-12-01 01:06,0.538,0.331,0,0,0,0,v
2016-12-01 01:12,0.472,0.266,0,0,0,0,v
2016-12-01 01:18,0.440,0.449,0,0,0,0,v
2016-12-01 01:24,0.430,0.364,0,0,0,0,v
2016-12-01 01:30,0.384,0.318,0,0,0,0,v
2016-12-01 01:36,0.453,0.459,0,0,0,0,v
2016-12-01 01:42,0.394,0.384,0,0,0,0,v
2016-12-01 01:48,0.453,0.413,0,0,0,0,v
2016-12-01 01:54,0.476,0.443,0,0,0,0,v
2016-12-01 02:00,0.486,0.325,0,0,0,0,v
2016-12-01 02:06,0.410,0.344,0,0,0,0,v
2016-12-01 02:12,0.449,0.381,0,0,0,0,v
2016-12-01 02:18,0.499,0.397,0,0,0,0,v
2016-12-01 02:24,0.312,0.427,0,0,0,0,v
2016-12-01 02:30,0.443,0.384,0,0,0,0,v
2016-12-01 02:36,0.371,0.367,0,0,0,0,v
2016-12-01 02:42,0.430,0.341,0,0,0,0,v
2016-12-01 02:48,0.390,0.305,0,0,0,0,v
2016-12-01 02:54,0.312,0.299,0,0,0,0,v
2016-12-01 03:00,0.335,0.381,0,0,0,0,v
2016-12-01 03:06,0.354,0.226,0,0,0,0,v
2016-12-01 03:12,0.358,0.259,0,0,0,0,v
2016-12-01 03:18,0.285,0.282,0,0,0,0,v
2016-12-01 03:24,0.354,0.302,0,0,0,0,v
2016-12-01 03:30,0.374,0.384,0,0,0,0,v
2016-12-01 03:36,0.295,0.325,0,0,0,0,v
2016-12-01 03:42,0.292,0.305,0,0,0,0,v
2016-12-01 03:48,0.217,0.292,0,0,0,0,v
2016-12-01 03:54,0.226,0.279,0,0,0,0,v
2016-12-01 04:00,0.289,0.331,0,0,0,0,v
2016-12-01 04:06,0.289,0.295,0,0,0,0,v
2016-12-01 04:12,0.148,0.325,0,0,0,0,v
2016-12-01 04:18,0.226,0.381,0,0,0,0,v
2016-12-01 04:24,0.217,0.338,0,0,0,0,v
2016-12-01 04:30,0.213,0.282,0,0,0,0,v
2016-12-01 04:36,0.236,0.262,0,0,0,0,v
2016-12-01 04:42,0.253,0.348,0,0,0,0,v
2016-12-01 04:48,0.226,0.262,0,0,0,0,v
2016-12-01 04:54,0.177,0.226,0,0,0,0,v
2016-12-01 05:00,0.184,0.341,0,0,0,0,v
2016-12-01 05:06,0.131,0.246,0,0,0,0,v
2016-12-01 05:12,0.082,0.282,0,0,0,0,v
2016-12-01 05:18,0.213,0.262,0,0,0,0,v
2016-12-01 05:24,0.249,0.285,0,0,0,0,v
2016-12-01 05:30,0.157,0.338,0,0,0,0,v
2016-12-01 05:36,0.157,0.272,0,0,0,0,v
2016-12-01 05:42,0.223,0.289,0,0,0,0,v
2016-12-01 05:48,0.207,0.285,0,0,0,0,v
2016-12-01 05:54,0.190,0.361,0,0,0,0,v
2016-12-01 06:00,0.243,0.312,0,0,0,0,v
2016-12-01 06:06,0.259,0.335,0,0,0,0,v
2016-12-01 06:12,0.184,0.295,0,0,0,0,v
2016-12-01 06:18,0.174,0.272,0,0,0,0,v
2016-12-01 06:24,0.272,,0,0,0,0,v
2016-12-01 06:30,0.207,0.318,0,0,0,0,v
2016-12-01 06:36,0.262,0.269,0,0,0,0,v
2016-12-01 06:42,0.210,0.289,0,0,0,0,v
2016-12-01 06:48,0.220,0.308,0,0,0,0,v
2016-12-01 06:54,0.243,0.318,0,0,0,0,v
2016-12-01 07:00,0.256,0.364,0,0,0,0,v
2016-12-01 07:06,0.279,0.226,0,0,0,0,v
2016-12-01 07:12,0.305,0.282,0,0,0,0,v
2016-12-01 07:18,0.335,0.335,0,0,0,0,v
2016-12-01 07:24,0.335,0.325,0,0,0,0,v
2016-12-01 07:30,0.262,0.253,0,0,0,0,v
2016-12-01 07:36,0.269,0.302,0,0,0,0,v
2016-12-01 07:42,0.322,0.351,0,0,0,0,v
2016-12-01 07:48,0.394,0.348,0,0,0,0,v
2016-12-01 07:54,0.443,0.322,0,0,0,0,v
2016-12-01 08:00,0.358,0.341,0,0,0,0,v
2016-12-01 08:06,0.420,0.390,0,0,0,0,v
2016-12-01 08:12,0.394,0.312,0,0,0,0,v
2016-12-01 08:18,0.489,0.269,0,0,0,0,v
2016-12-01 08:24,0.449,0.407,0,0,0,0,v
2016-12-01 08:30,0.495,0.341,0,0,0,0,v
