Date Time, Water Level, Sigma, I, L 
2016-11-01 00:00,0.321,0.066,0,0
2016-11-01 01:00,0.319,0.065,0,0
2016-11-01 02:00,0.238,0.110,0,0
2016-11-01 03:00,0.196,0.073,0,0
2016-11-01 04:00,0.179,0.082,0,0
2016-11-01 05:00,0.147,0.115,0,0
2016-11-01 06:00,0.245,0.116,0,0
2016-11-01 07:00,0.253,0.105,0,0
2016-11-01 08:00,0.285,0.115,0,0
2016-11-01 09:00,0.259,0.103,0,0
2016-11-01 10:00,0.336,0.162,0,0
2016-11-01 11:00,0.369,0.114,0,0
2016-11-01 12:00,0.417,0.127,0,0
2016-11-01 13:00,0.452,0.142,0,0
2016-11-01 14:00,0.477,0.131,0,0
2016-11-01 15:00,0.464,0.159,0,0
2016-11-01 16:00,0.400,0.113,0,0
2016-11-01 17:00,0.398,0.153,0,0
2016-11-01 18:00,0.401,0.175,0,0
2016-11-01 19:00,0.421,0.134,0,0
2016-11-01 20:00,0.369,0.164,0,0
2016-11-01 21:00,0.397,0.136,0,0
2016-11-01 22:00,0.292,0.121,0,0
2016-11-01 23:00,0.295,0.107,0,0
2016-11-02 00:00,0.286,0.136,0,0
2016-11-02 01:00,0.316,0.102,0,0
2016-11-02 02:00,0.286,0.169,0,0
2016-11-02 03:00,0.186,0.132,0,0
2016-11-02 04:00,0.162,0.134,0,0
2016-11-02 05:00,0.105,0.130,0,0
2016-11-02 06:00,0.149,0.102,0,0
2016-11-02 07:00,0.196,0.109,0,0
2016-11-02 08:00,0.187,0.115,0,0
2016-11-02 09:00,0.181,0.124,0,0
2016-11-02 10:00,0.221,0.107,0,0
2016-11-02 11:00,0.251,0.120,0,0
2016-11-02 12:00,0.301,0.127,0,0
2016-11-02 13:00,0.314,0.130,0,0
2016-11-02 14:00,0.332,0.107,0,0
2016-11-02 15:00,0.327,0.080,0,0
2016-11-02 16:00,0.293,0.115,0,0
2016-11-02 17:00,0.298,0.127,0,0
2016-11-02 18:00,0.298,0.091,0,0
2016-11-02 19:00,0.294,0.103,0,0
2016-11-02 20:00,0.266,0.083,0,0
2016-11-02 21:00,0.249,0.100,0,0
2016-11-02 22:00,0.206,0.087,0,0
2016-11-02 23:00,0.194,0.073,0,0
2016-11-03 00:00,0.161,0.079,0,0
